,model,average_edge_probability,percentage_intra_edges,r,ari
0,DSBM,0.0045,0.0,1,0.9990003313437641
0,DSBM,0.0045,0.0,2,1.0
0,DSBM,0.0045,0.0,3,1.0
0,DSBM,0.0045,0.0,4,0.9996250656378936
0,DSBM,0.0045,0.0,5,1.0
0,DSBM,0.0045,0.0,6,1.0
0,DSBM,0.0045,0.0,7,1.0
0,DSBM,0.0045,0.0,8,1.0
0,DSBM,0.0045,0.0,9,1.0
0,DSBM,0.0045,0.0,10,1.0
0,DSBM_PA,0.0045,0.0,1,0.36649536440950625
0,DSBM_PA,0.0045,0.0,2,0.3664297558463389
0,DSBM_PA,0.0045,0.0,3,0.3664297558463389
0,DSBM_PA,0.0045,0.0,4,0.3664297558463389
0,DSBM_PA,0.0045,0.0,5,0.3664297558463389
0,DSBM_PA,0.0045,0.0,6,0.3664297558463389
0,DSBM_PA,0.0045,0.0,7,0.36644228569094367
0,DSBM_PA,0.0045,0.0,8,0.3664297558463389
0,DSBM_PA,0.0045,0.0,9,0.3664297558463389
0,DSBM_PA,0.0045,0.0,10,0.36649536440950625
0,DSBM,0.0045,0.225,1,0.9160802716317517
0,DSBM,0.0045,0.225,2,0.675318601983518
0,DSBM,0.0045,0.225,3,0.5002877415728336
0,DSBM,0.0045,0.225,4,0.42317608885602526
0,DSBM,0.0045,0.225,5,0.013011596134592848
0,DSBM,0.0045,0.225,6,0.0005081998528546981
0,DSBM,0.0045,0.225,7,0.0006304636978923938
0,DSBM,0.0045,0.225,8,0.0008424317506870493
0,DSBM,0.0045,0.225,9,0.0009553547646905965
0,DSBM,0.0045,0.225,10,0.001134072360788932
0,DSBM_PA,0.0045,0.225,1,0.34196690822715825
0,DSBM_PA,0.0045,0.225,2,0.34196690822715825
0,DSBM_PA,0.0045,0.225,3,0.34302936030347786
0,DSBM_PA,0.0045,0.225,4,0.34196690822715825
0,DSBM_PA,0.0045,0.225,5,0.34196690822715825
0,DSBM_PA,0.0045,0.225,6,0.34195493061865545
0,DSBM_PA,0.0045,0.225,7,0.34196690822715825
0,DSBM_PA,0.0045,0.225,8,0.34196690822715825
0,DSBM_PA,0.0045,0.225,9,0.34364166400232043
0,DSBM_PA,0.0045,0.225,10,0.34196690822715825
0,DSBM,0.0045,0.45,1,1.0
0,DSBM,0.0045,0.45,2,0.9995000093859412
0,DSBM,0.0045,0.45,3,1.0
0,DSBM,0.0045,0.45,4,1.0
0,DSBM,0.0045,0.45,5,1.0
0,DSBM,0.0045,0.45,6,1.0
0,DSBM,0.0045,0.45,7,1.0
0,DSBM,0.0045,0.45,8,1.0
0,DSBM,0.0045,0.45,9,1.0
0,DSBM,0.0045,0.45,10,1.0
0,DSBM_PA,0.0045,0.45,1,0.29963004335753735
0,DSBM_PA,0.0045,0.45,2,0.2961025203911349
0,DSBM_PA,0.0045,0.45,3,0.29963004335753735
0,DSBM_PA,0.0045,0.45,4,0.29963004335753735
0,DSBM_PA,0.0045,0.45,5,0.2961025203911349
0,DSBM_PA,0.0045,0.45,6,0.2961025203911349
0,DSBM_PA,0.0045,0.45,7,0.2961025203911349
0,DSBM_PA,0.0045,0.45,8,0.2961025203911349
0,DSBM_PA,0.0045,0.45,9,0.2961025203911349
0,DSBM_PA,0.0045,0.45,10,0.2961025203911349
0,DSBM,0.0045,0.675,1,1.0
0,DSBM,0.0045,0.675,2,1.0
0,DSBM,0.0045,0.675,3,1.0
0,DSBM,0.0045,0.675,4,1.0
0,DSBM,0.0045,0.675,5,1.0
0,DSBM,0.0045,0.675,6,1.0
0,DSBM,0.0045,0.675,7,1.0
0,DSBM,0.0045,0.675,8,1.0
0,DSBM,0.0045,0.675,9,1.0
0,DSBM,0.0045,0.675,10,1.0
0,DSBM_PA,0.0045,0.675,1,0.24409390491399402
0,DSBM_PA,0.0045,0.675,2,0.24451272507062682
0,DSBM_PA,0.0045,0.675,3,0.24451272507062682
0,DSBM_PA,0.0045,0.675,4,0.2444923928636404
0,DSBM_PA,0.0045,0.675,5,0.24451272507062682
0,DSBM_PA,0.0045,0.675,6,0.24451272507062682
0,DSBM_PA,0.0045,0.675,7,0.24385145819634996
0,DSBM_PA,0.0045,0.675,8,0.24451272507062682
0,DSBM_PA,0.0045,0.675,9,0.24451272507062682
0,DSBM_PA,0.0045,0.675,10,0.24451272507062682
0,DSBM,0.0045,0.9,1,1.0
0,DSBM,0.0045,0.9,2,1.0
0,DSBM,0.0045,0.9,3,1.0
0,DSBM,0.0045,0.9,4,1.0
0,DSBM,0.0045,0.9,5,1.0
0,DSBM,0.0045,0.9,6,1.0
0,DSBM,0.0045,0.9,7,1.0
0,DSBM,0.0045,0.9,8,1.0
0,DSBM,0.0045,0.9,9,1.0
0,DSBM,0.0045,0.9,10,1.0
0,DSBM_PA,0.0045,0.9,1,0.2271647815788595
0,DSBM_PA,0.0045,0.9,2,0.22778473776015187
0,DSBM_PA,0.0045,0.9,3,0.22800152653903863
0,DSBM_PA,0.0045,0.9,4,0.22770616205526387
0,DSBM_PA,0.0045,0.9,5,0.2277619084922524
0,DSBM_PA,0.0045,0.9,6,0.22581956641377227
0,DSBM_PA,0.0045,0.9,7,0.22800152653903863
0,DSBM_PA,0.0045,0.9,8,0.22780782482998954
0,DSBM_PA,0.0045,0.9,9,0.22581956641377227
0,DSBM_PA,0.0045,0.9,10,0.2271647815788595
